trench_number,position_um,etch_length_um,etch_length_nm,pitch_um,phase_correction_um,start_x,end_x,depth_um
1,0.1000,0.0800,80.0,0.5939,0.000000,0.1000,0.1800,0.070
2,0.6939,0.0800,80.0,0.5939,0.000000,0.6939,0.7739,0.070
3,1.2879,0.0800,80.0,0.5939,-0.003577,1.2879,1.3679,0.070
4,1.8783,0.0859,85.9,0.5951,-0.010135,1.8783,1.9642,0.070
5,2.4632,0.1027,102.7,0.5982,-0.010421,2.4632,2.5659,0.070
6,3.0510,0.1200,120.0,0.6014,-0.012792,3.0510,3.1710,0.070
7,3.6396,0.1372,137.2,0.6046,-0.020940,3.6396,3.7768,0.070
8,4.2233,0.1719,171.9,0.6111,-0.016920,4.2233,4.3952,0.070
9,4.8175,0.2000,200.0,0.6164,0.000000,4.8175,5.0175,0.070
10,5.4338,0.2000,200.0,0.6164,0.000000,5.4338,5.6338,0.070
11,6.0502,0.2000,200.0,0.6164,0.000000,6.0502,6.2502,0.070
12,6.6666,0.2000,200.0,0.6164,0.000000,6.6666,6.8666,0.070
13,7.2829,0.2000,200.0,0.6164,0.000000,7.2829,7.4829,0.070
14,7.8993,0.2000,200.0,0.6164,0.000000,7.8993,8.0993,0.070
15,8.5157,0.2000,200.0,0.6164,0.000000,8.5157,8.7157,0.070
16,9.1320,0.2000,200.0,0.6164,0.000000,9.1320,9.3320,0.070
17,9.7484,0.2000,200.0,0.6164,0.000000,9.7484,9.9484,0.070
18,10.3647,0.2000,200.0,0.6164,0.000000,10.3647,10.5647,0.070
19,10.9811,0.2000,200.0,0.6164,0.000000,10.9811,11.1811,0.070
20,11.5975,0.2000,200.0,0.6164,0.000000,11.5975,11.7975,0.070
21,12.2138,0.2000,200.0,0.6164,0.000000,12.2138,12.4138,0.070
22,12.8302,0.2000,200.0,0.6164,0.000000,12.8302,13.0302,0.070
23,13.4465,0.2000,200.0,0.6164,0.000000,13.4465,13.6465,0.070
24,14.0629,0.2000,200.0,0.6164,0.000000,14.0629,14.2629,0.070
25,14.6793,0.2000,200.0,0.6164,0.000000,14.6793,14.8793,0.070
26,15.2956,0.2000,200.0,0.6164,0.000000,15.2956,15.4956,0.070
27,15.9120,0.2000,200.0,0.6164,0.000000,15.9120,16.1120,0.070
28,16.5283,0.2000,200.0,0.6164,0.000000,16.5283,16.7283,0.070
